typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20180101,2018,52,2018,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,63250.052,63250.052,0,FALSE,TRUE
C,A,20180101,2018,52,2018,566,NGA,Nigeria,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,8,kg,1,FALSE,1,FALSE,0,FALSE,,24941.795,24941.795,0,FALSE,TRUE
C,A,20180101,2018,52,2018,566,NGA,Nigeria,X,Export,842,USA,USA,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,,FALSE,0,FALSE,,38308.257,38308.257,0,FALSE,TRUE
C,A,20180101,2018,52,2018,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,1001,FALSE,,FALSE,0,FALSE,,63250.052,63250.052,0,FALSE,TRUE
C,A,20180101,2018,52,2018,566,NGA,Nigeria,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1,FALSE,8,kg,1,FALSE,1,FALSE,0,FALSE,,24941.795,24941.795,0,FALSE,TRUE
C,A,20180101,2018,52,2018,566,NGA,Nigeria,X,Export,842,USA,USA,0,W00,World,H4,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,1000,FALSE,,FALSE,0,FALSE,,38308.257,38308.257,0,FALSE,TRUE
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,0,2066218.455,2066218.455,6,FALSE,TRUE
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,0,TRUE,0,FALSE,0,1592963.945,1592963.945,6,FALSE,TRUE
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,792,TUR,FALSE,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30,FALSE,8,kg,30,FALSE,30,FALSE,0,FALSE,0,473254.51,473254.51,0,FALSE,TRUE
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,8,kg,107565,FALSE,0,TRUE,0,FALSE,0,1904286.886,1904286.886,6,FALSE,TRUE
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,8,kg,107535,FALSE,0,TRUE,0,FALSE,0,1431032.376,1431032.376,6,FALSE,TRUE
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,792,TUR,FALSE,0,W00,World,H4,HS,TRUE,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30,FALSE,8,kg,30,FALSE,30,FALSE,0,FALSE,0,473254.51,473254.51,0,FALSE,TRUE
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,710813,"Metals; gold, semi-manufactured",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,8,kg,4400,FALSE,0,TRUE,0,FALSE,0,161931.568,161931.568,6,FALSE,TRUE
C,A,20200101,2020,52,2020,566,NGA,Nigeria,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,TRUE,710813,"Metals; gold, semi-manufactured",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,8,kg,4400,FALSE,0,TRUE,0,FALSE,0,161931.568,161931.568,6,FALSE,TRUE
C,A,20210101,2021,52,2021,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,0,8290482.56,8290482.56,0,FALSE,TRUE
C,A,20210101,2021,52,2021,566,NGA,Nigeria,X,Export,757,CHE,Switzerland,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,148.61,FALSE,8,kg,148.61,FALSE,148.61,FALSE,0,FALSE,0,7336973.944,7336973.944,0,FALSE,TRUE
C,A,20210101,2021,52,2021,566,NGA,Nigeria,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,0,577578.593,577578.593,0,FALSE,TRUE
C,A,20210101,2021,52,2021,566,NGA,Nigeria,X,Export,792,TUR,FALSE,0,W00,World,H4,HS,TRUE,7108,"Gold (including gold plated with platinum) unwrought or in semi-manufactured forms, or in powder form",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,0,375930.022,375930.022,0,FALSE,TRUE
C,A,20210101,2021,52,2021,566,NGA,Nigeria,X,Export,0,W00,World,0,W00,World,H4,HS,TRUE,710811,"Metals; gold, non-monetary, powder",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,16348.61,FALSE,0,FALSE,0,FALSE,0,7914552.538,7914552.538,0,FALSE,TRUE
C,A,20210101,2021,52,2021,566,NGA,Nigeria,X,Export,757,CHE,Switzerland,0,W00,World,H4,HS,TRUE,710811,"Metals; gold, non-monetary, powder",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,148.61,FALSE,8,kg,148.61,FALSE,148.61,FALSE,0,FALSE,0,7336973.944,7336973.944,0,FALSE,TRUE
C,A,20210101,2021,52,2021,566,NGA,Nigeria,X,Export,784,ARE,United Arab Emirates,0,W00,World,H4,HS,TRUE,710811,"Metals; gold, non-monetary, powder",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,8,kg,16200,FALSE,0,FALSE,0,FALSE,0,577578.593,577578.593,0,FALSE,TRUE
